Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202300000136;155680313;A01;2;7;0;2;1;5;1;
202300000136;155680314;B01;1;17;0;2;1;1;1;
202300000137;155680310;A01;1;7;0;9;2;1;0;
202300000137;155680311;B01;1;80;0;2;4;1;3;
202300000138;155680309;A01;1;7;0;2;1;0;1;
202300000138;155680312;B01;1;7;0;2;8;0;1;
202300000139;155680306;A01;2;7;0;2;1;11;0;
202300000139;155680308;B01;1;33;0;2;1;0;1;
202300000140;155680305;Z01;2;10;0;2;7;17;0;
202300000140;155680307;B01;2;1;0;2;8;1;5;
202300000141;155680302;B01;2;15;0;2;3;1;1;
202300000141;155680303;A01;1;7;0;2;1;11;1;
202300000142;155680301;B01;2;1;0;2;7;1;5;
202300000142;155680304;A01;2;7;0;2;1;1;1;
202300000143;155680298;A01;1;7;0;2;4;2;1;
202300000143;155680299;B01;1;7;0;2;1;2;0;
202300000144;155680297;A01;0;10;0;0;2;9;1;
202300000144;155680300;B01;0;14;7;0;1;1;1;
202300000145;155680295;A01;1;7;2;0;1;1;1;
202300000146;155680294;B01;1;1;0;2;8;15;5;
202300000146;155680296;A01;1;7;0;2;2;1;1;
202300000147;155680292;A01;1;33;0;2;1;1;1;
202300000147;155680293;B01;1;7;0;2;4;1;1;
202300000148;155680291;A01;3;7;13;0;9;1;1;
202300000149;155680288;A01;2;7;0;2;1;1;1;
202300000149;155680290;B01;3;50;0;2;0;1;3;
202300000150;155680287;A01;2;10;0;2;1;1;1;
202300000150;155680289;B01;1;10;0;2;1;1;1;
202300000151;155680285;B01;1;7;0;2;3;1;0;
202300000151;155680286;A01;2;60;0;2;3;26;5;
202300000152;155680284;A01;1;7;3;0;8;1;2;
202300000153;155680283;A01;3;7;0;1;8;15;1;
202300000154;155680280;B01;1;33;0;2;0;1;1;
202300000154;155680282;A01;1;7;0;2;2;12;1;
202300000155;155680279;A01;1;7;0;2;3;1;1;
202300000155;155680281;B01;0;7;0;2;2;1;1;
202300000156;155680276;A01;3;99;0;2;1;1;3;
202300000156;155680277;B01;3;99;0;2;4;1;0;
202300000157;155680275;B01;2;7;0;2;1;1;1;
202300000157;155680278;A01;1;3;0;2;7;13;1;
202300000158;155680274;A01;2;33;0;0;0;1;1;
202300000159;155680273;A01;0;7;2;0;2;1;1;
202300000160;155680271;A01;3;32;0;2;1;1;1;
202300000160;155680272;B01;3;14;0;2;5;0;1;
202300000161;155680269;A01;1;7;0;1;1;1;1;
202300000162;155680270;A01;3;7;0;1;3;1;3;
202300000163;155680268;A01;1;7;0;1;7;1;1;
202300000164;155680267;A01;2;7;4;0;2;6;3;
202300000165;155680265;B01;1;7;0;9;4;1;1;
202300000165;155680266;A01;1;7;0;2;1;1;1;
202300000166;155680264;A01;2;7;0;1;1;1;1;
202300000167;155680261;A01;0;7;0;2;2;2;1;
202300000167;155680262;B01;0;33;0;2;4;23;1;
202300000168;155680258;B01;1;33;0;2;1;17;1;
202300000168;155680259;A01;1;7;0;2;2;15;1;
202300000169;155680257;B01;1;7;0;2;2;1;1;
202300000169;155680260;A01;1;7;0;2;1;15;1;
202300000170;155680252;B01;1;7;0;2;6;15;1;
202300000170;155680254;A01;1;33;0;2;6;17;1;
202300000171;155680253;A01;1;7;0;1;2;1;1;
202300000172;155680250;A01;1;30;0;2;1;1;1;
202300000172;155680251;B01;0;1;0;0;0;0;5;
202300000173;155680249;A01;1;7;2;0;2;1;0;
202300000174;155680247;A01;2;10;0;2;1;15;0;
202300000174;155680248;B01;2;31;0;2;1;1;0;
202300000175;155680245;A01;2;7;0;2;7;17;1;
202300000175;155680246;B01;1;7;0;2;1;1;1;
202300000176;155680244;A01;2;31;0;1;2;1;1;
202300000177;155680242;A01;1;2;0;2;1;3;1;
202300000177;155680243;B01;1;7;0;2;3;15;1;
202300000178;155680241;A01;1;2;1;0;1;1;1;
202300000179;155680239;A01;2;7;0;1;1;1;1;
202300000180;155680238;A01;3;2;6;0;8;1;1;
202300000180;155680240;B01;3;7;0;0;2;1;1;
202300000181;155680237;A01;1;10;8;0;1;1;1;
202300000182;155680235;A01;3;7;0;9;2;16;1;
202300000182;155680236;B01;1;50;0;2;3;0;3;
202300000183;155680234;A01;1;38;0;0;2;21;1;6.0
202300000184;155680232;B01;3;32;0;2;1;1;1;
202300000184;155680233;A01;3;7;0;2;3;20;1;
202300000185;155680230;A01;3;33;16;0;1;1;1;
202300000186;155680229;B01;3;7;0;2;3;19;1;
202300000186;155680231;A01;3;7;0;2;2;19;1;
202300000187;155680227;A01;2;80;0;2;1;2;3;
